접근수단,시군구_격자,행정동_격자,중분류,평균_H3SFCA,중앙값_H3SFCA,격자수,평균_접근가능가맹점수
대중교통,중구,필동,관광지,0.0001633271156221447,0.00016214554338243495,146,11.60958904109589
대중교통,중구,필동,미술,0.0030739979247423953,0.003076069050416276,148,258.43243243243245
대중교통,중구,필동,스포츠관람,3.109138661663198e-05,3.401144630391067e-05,146,4.465753424657534
대중교통,중구,황학동,공연,0.0006420791008398284,0.0006448821216106072,29,96.72413793103448
대중교통,중구,황학동,관광지,0.00012602586416697985,0.00012787573601155035,29,19.82758620689655
대중교통,중구,황학동,미술,0.003933009228892223,0.002561927929570337,33,331.6969696969697
대중교통,중구,황학동,스포츠관람,3.1525559435452757e-05,3.152651436961237e-05,29,5.0
대중교통,중구,회현동,공연,0.0032480143960899816,0.0006783918942579273,85,101.75294117647059
대중교통,중구,회현동,관광지,0.00020638083431492854,0.00018274478822199482,87,13.218390804597702
대중교통,중구,회현동,미술,0.0031893709855858893,0.0030655077536943034,85,329.0
대중교통,중구,회현동,스포츠관람,3.4320556825739885e-05,3.429403877265998e-05,81,5.0
대중교통,중랑구,망우3동,공연,0.00010487580303478831,9.341892715504622e-05,93,6.086021505376344
대중교통,중랑구,망우3동,관광지,6.390349571818405e-05,6.318502521111621e-05,93,6.32258064516129
대중교통,중랑구,망우3동,미술,0.0011881661033838736,0.0011853280841754904,95,101.0421052631579
대중교통,중랑구,망우본동,공연,0.00010643303150345904,0.00010676677498077301,290,7.117241379310345
대중교통,중랑구,망우본동,관광지,7.415650065683443e-05,6.970715466620499e-05,293,7.805460750853243
대중교통,중랑구,망우본동,미술,0.0011584575305642526,0.001161014322390482,293,118.17064846416382
대중교통,중랑구,면목2동,공연,0.0003141149320824534,0.000320902571683014,73,50.54794520547945
대중교통,중랑구,면목2동,관광지,7.546440261527679e-05,7.513985189643123e-05,73,13.616438356164384
대중교통,중랑구,면목2동,미술,0.0012173279527600029,0.0012151192132951747,73,222.46575342465752
대중교통,중랑구,면목2동,스포츠관람,1.7258384749381257e-05,1.716182387511293e-05,57,1.0175438596491229
대중교통,중랑구,면목3·8동,공연,0.00014440700555409794,0.00012353098357154843,150,13.773333333333333
대중교통,중랑구,면목3·8동,관광지,6.62613798359477e-05,7.37133988723081e-05,161,6.956521739130435
대중교통,중랑구,면목3·8동,미술,0.0011995049466136155,0.001191068058556224,161,120.5527950310559
대중교통,중랑구,면목3·8동,스포츠관람,1.716182387511293e-05,1.716182387511293e-05,24,1.0
대중교통,중랑구,면목4동,공연,0.0002704380076793292,0.0002697308344764771,83,38.674698795180724
대중교통,중랑구,면목4동,관광지,0.00014357826852734982,8.63504584974474e-05,84,12.821428571428571
대중교통,중랑구,면목4동,미술,0.0013812013073553494,0.0012806733527128272,84,199.5595238095238
대중교통,중랑구,면목4동,스포츠관람,1.716182387511293e-05,1.716182387511293e-05,55,1.0
대중교통,중랑구,면목5동,공연,0.0003334224519311211,0.00032129684975683786,70,53.957142857142856
대중교통,중랑구,면목5동,관광지,8.155286874505389e-05,7.91353429025333e-05,70,12.657142857142857
대중교통,중랑구,면목5동,미술,0.0012666369242733814,0.00126443152102499,70,223.9857142857143
대중교통,중랑구,면목5동,스포츠관람,1.716182387511293e-05,1.716182387511293e-05,63,1.0
대중교통,중랑구,면목7동,공연,0.0001728681789535296,0.00013261380224712603,123,18.528455284552845
대중교통,중랑구,면목7동,관광지,0.00011131241382075474,7.847160270415019e-05,124,8.306451612903226
대중교통,중랑구,면목7동,미술,0.0012939926621184205,0.0012115687718619716,124,142.41935483870967
